id,name,title,gender,role
IB063,Ivana Bosnić,izv. prof. dr. sc.,F,izvanredni profesor
ŽB054,Željka Marija Bošnjak,prof. dr. sc.,F,redoviti profesor
IB042,Ivica Botički,prof. dr. sc.,M,redoviti profesor
JB077,Jelena Božek,doc. dr. sc.,F,docent
TB023,Tomislav Bracanović,dr. sc.,M,povjera predavanja
IB433,"Ivan Brčić,",univ. mag. ing. el. techn. inf.,M,asistent
MB257,Mario Brčić,izv. prof. dr. sc.,M,izvanredni profesor
RB031,Ružica Brečić,izv. prof. dr. sc.,F,izvanredni profesor
AŠ108,Ana Brkić,dr. sc.,F,povjera predavanja
KB033,Karla Brkić,nasl. doc. dr. sc.,F,naslovni docent
LB011,Ljiljana Brkić,prof. dr. sc.,F,redoviti profesor
TB008,Tihana Brkljačić,doc. dr. sc.,F,docent
IB025,Ilko Brnetić,prof. dr. sc.,M,redoviti profesor
LB003,Leo Budin,akademik prof. emer. dr. sc.,M,professor emeritus
MB369,Mario Bukal,izv. prof. dr. sc.,M,izvanredni profesor
TB046,Tomislav Burić,prof. dr. sc.,M,redoviti profesor
MB491,Marin Bužančić,doc. dr. sc.,M,docent
TC010,Tomislav Capuder,izv. prof. dr. sc.,M,izvanredni profesor
MC100,Mateja Car,dr. sc.,F,viši asistent
ŽC000,Željka Car,prof. dr. sc.,F,redoviti profesor u trajnom zvanju
MC009,Mario Cifrek,prof. dr. sc.,M,redoviti profesor u trajnom zvanju
SC033,Stefan Cikota,nasl. doc. dr. sc.,M,naslovni docent
VC033,"Vlatko Crnković,",mag. math.,M,asistent
IČ006,Igor Čavrak,prof. dr. sc.,M,redoviti profesor
VČ009,Vladimir Čeperić,izv. prof. dr. sc.,M,izvanredni profesor
NČ031,"Ninoslav Čerkez,",dr. sc. v. pred.,M,viši predavač
IČ055,"Ivan Čilić,",mag. ing. inf. et comm. techn.,M,asistent
NČ024,Nikolina Čović,dr. sc. tech.,F,asistent
MČ158,"Marko Čuljak,",univ. mag. ing. comp.,M,asistent
MČ005,Marko Čupić,izv. prof. dr. sc.,M,izvanredni profesor
KĆ001,Krešimir Ćosić,nasl. prof. dr. sc.,M,naslovni redoviti profesor u trajnom zvanju
MD007,Martin Dadić,prof. dr. sc.,M,redoviti profesor u trajnom zvanju
BD002,Bojana Dalbelo-Bašić,dr. sc.,F,povjera predavanja
GD010,Goran Delač,izv. prof. dr. sc.,M,izvanredni profesor
MD011,Marko Delimar,prof. dr. sc.,M,redoviti profesor
SD007,Saša Dešić,nasl. izv. prof. dr. sc.,unknown,naslovni izvanredni profesor
RD030,Roee Diamant,izv. prof. dr. sc.,M,izvanredni profesor
MM015,Mirjana Domazet-Lošo,prof. dr. sc.,F,redoviti profesor
JD060,Juraj Dončević,dr. sc.,M,povjera predavanja
AD053,Ana Drandić,doc. dr. sc.,F,docent
ID015,Ivana Dražić Lutilsky,prof. dr. sc.,F,redoviti profesor
BD020,Branimir Dropuljić,dr. sc.,M,povjera predavanja
PD019,Paulina Družijanić,doc. dr. sc.,F,docent
DD112,Dominik Džaja,,M,asistent
HD001,Hrvoje Džapo,prof. dr. sc.,M,redoviti profesor
ID039,Ivo Džijan,prof. dr. sc.,M,redoviti profesor u trajnom izboru
